participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic
M63,20,Female,5,4,2,1,1,1,high,positive,4,4,4,3,2,2,1,2,2,3,3,1
M63,20,Female,5,4,2,1,1,1,high,negative,3,4,3,2,2,2,1,2,2,3,3,1
M63,20,Female,5,4,2,1,1,1,low,positive,4,3,4,2,3,2,1,2,2,3,3,1
M63,20,Female,5,4,2,1,1,1,low,negative,3,4,4,3,3,2,1,2,2,3,3,1
T64,19,Female,5,3,2,2,2,2,high,positive,4,3,3,3,2,3,1,1,1,1,1,3
T64,19,Female,5,3,2,2,2,2,high,negative,4,3,3,4,3,3,1,1,1,1,1,3
T64,19,Female,5,3,2,2,2,2,low,positive,5,5,5,5,4,4,1,1,1,1,1,3
T64,19,Female,5,3,2,2,2,2,low,negative,4,5,5,5,4,4,1,1,1,1,1,3
T64,19,Female,5,3,2,2,2,2,medium,positive,5,5,5,5,3,3,1,1,1,1,1,3
T64,19,Female,5,3,2,2,2,2,medium,negative,4,4,4,3,3,3,1,1,1,1,1,3
A65,21,Female,5,4,1,5,1,2,low,positive,5,5,5,4,5,5,1,1,1,3,3,3
A65,21,Female,5,4,1,5,1,2,low,negative,5,5,5,4,5,5,1,1,1,3,3,3
A65,21,Female,5,4,1,5,1,2,medium,positive,3,3,3,3,3,3,1,1,1,3,3,3
A65,21,Female,5,4,1,5,1,2,medium,negative,3,3,3,3,3,3,1,1,1,3,3,3
A65,21,Female,5,4,1,5,1,2,high,positive,3,2,2,3,5,5,1,1,1,3,3,3
A65,21,Female,5,4,1,5,1,2,high,negative,3,2,2,3,5,5,1,1,1,3,3,3
D66,19,Male,5,4,5,1,4,1,medium,positive,3,3,2,2,2,2,1,3,2,1,3,2
D66,19,Male,5,4,5,1,4,1,medium,negative,2,2,2,2,2,2,1,3,2,1,3,2
D66,19,Male,5,4,5,1,4,1,high,positive,3,3,4,4,2,3,1,3,2,1,3,2
D66,19,Male,5,4,5,1,4,1,high,negative,3,3,3,3,2,3,1,3,2,1,3,2
D66,19,Male,5,4,5,1,4,1,low,positive,4,3,3,4,3,2,1,3,2,1,3,2
D66,19,Male,5,4,5,1,4,1,low,negative,2,2,2,2,2,2,1,3,2,1,3,2
S67,21,Female,5,4,4,1,1,1,high,positive,4,4,4,3,3,2,1,3,1,3,1,1
S67,21,Female,5,4,4,1,1,1,high,negative,4,4,4,3,2,2,1,3,1,3,1,1
S67,21,Female,5,4,4,1,1,1,low,positive,4,4,4,4,4,4,1,3,1,3,1,1
S67,21,Female,5,4,4,1,1,1,low,negative,4,4,4,4,4,4,1,3,1,3,1,1
S67,21,Female,5,4,4,1,1,1,medium,positive,3,3,4,2,2,2,1,3,1,3,1,1
S67,21,Female,5,4,4,1,1,1,medium,negative,3,3,2,2,2,2,1,3,1,3,1,1
H68,28,Female,5,2,4,1,1,1,low,positive,3,3,3,4,3,4,1,1,1,1,1,1
H68,28,Female,5,2,4,1,1,1,low,negative,3,4,4,4,3,4,1,1,1,1,1,1
